Data,Voc_cell1_CT,Isc_cell1_CT,Voc_cell2_2P,Isc_cell2_2P,Voc_cell3_4P,Isc_cell3_4P,Voc_cell4_Fix,Isc_cell4_Fix,Pot_Cell1_CT,Pot_Cell3_4P,Pot_Cell2_2P,Pot_Cell4_Fix,Energy_Cell1_CT,Energy_Cell2_2P,Energy_Cell3_4P,Energy_cell4_Fix,Gain_Cell1_CT,Gain_Cell2_2P,Gain_Cell3_4P
2021-07-29,665.039,1461.385,664.929,1539.473,661.449,1414.483,678.672,1292.423,1559.159,1657.020,1514.356,1408.164,25.990,25.240,27.620,23.470,11.000,8.000,18.000
2021-07-30,645.797,2429.196,669.773,2658.122,679.440,2438.658,678.742,2076.117,2638.317,2855.518,2662.800,2268.549,43.970,44.380,47.590,37.810,16.000,17.000,26.000
2021-07-31,656.142,2155.486,647.387,2347.309,657.209,1721.599,658.917,1771.201,2325.540,2496.746,1861.849,1926.144,38.760,31.030,41.610,32.100,21.000,-3.000,30.000
2021-08-02,709.472,2733.249,701.409,2669.583,709.870,2378.265,709.130,2110.687,2955.501,2850.242,2580.140,2293.401,49.260,43.000,47.500,38.220,29.000,13.000,24.000
2021-08-03,682.787,1274.262,690.463,1291.452,684.605,1204.657,693.945,1153.410,1372.241,1399.803,1293.908,1260.763,22.870,21.570,23.330,21.010,9.000,3.000,11.000
2021-08-04,707.130,2064.894,710.694,2095.411,705.449,1862.417,715.571,1672.555,2241.911,2280.840,2010.239,1836.800,37.370,33.500,38.010,30.610,22.000,9.000,24.000
2021-08-05,679.822,2167.575,673.401,2114.855,678.205,1968.521,677.363,1568.952,2359.011,2281.399,2132.708,1697.872,39.320,35.550,38.020,28.300,39.000,26.000,34.000
2021-08-06,695.558,1666.447,689.182,1641.421,693.026,1549.335,692.694,983.075,1823.445,1780.052,1686.391,1070.157,30.390,28.110,29.670,17.840,70.000,58.000,66.000
2021-08-09,699.669,2702.240,704.160,2910.900,699.252,2698.493,710.806,2710.271,2867.217,3122.108,2876.339,2927.745,47.790,47.940,52.040,48.800,-2.000,-2.000,7.000
2021-08-10,658.043,1150.677,659.829,1180.662,656.665,1025.780,670.759,1165.249,1213.433,1256.256,1082.260,1248.467,20.220,18.040,20.940,20.810,-3.000,-13.000,1.000
2021-08-11,692.097,1456.884,685.470,1324.891,689.542,1234.347,689.486,1272.106,1565.794,1408.010,1326.590,1365.174,26.100,22.110,23.470,22.750,15.000,-3.000,3.000
2021-08-12,698.419,2055.919,690.389,2213.263,693.902,2227.182,698.069,2081.261,2238.035,2377.270,2414.972,2272.894,37.300,40.250,39.620,37.880,-2.000,6.000,5.000
2021-08-13,677.202,1180.451,683.282,1200.123,678.903,1046.449,689.252,1113.914,1275.258,1300.854,1123.794,1228.024,21.250,18.730,21.680,20.470,4.000,-9.000,6.000
2021-08-14,670.720,1467.490,676.844,1558.648,670.254,1441.487,682.459,1213.905,1554.152,1657.904,1518.255,1317.584,25.900,25.300,27.630,21.960,18.000,15.000,26.000
2021-08-19,707.266,1081.458,700.275,1022.982,708.864,1001.586,709.756,909.541,1202.947,1125.612,1110.120,1010.293,20.050,18.500,18.760,16.840,19.000,10.000,11.000
2021-08-20,706.070,1158.143,699.407,1098.578,708.371,1063.902,705.974,1034.695,1281.415,1203.997,1174.613,1141.989,21.360,19.580,20.070,19.030,12.000,3.000,5.000
2021-08-21,694.163,1682.939,695.698,1702.826,691.399,1511.476,705.617,1466.429,1820.363,1861.046,1646.267,1614.040,30.340,27.440,31.020,26.900,13.000,2.000,15.000
2021-08-23,713.232,1385.377,713.415,1415.405,709.499,1220.320,728.447,1259.646,1503.705,1550.847,1332.221,1395.924,25.060,22.200,25.850,23.270,8.000,-5.000,11.000
2021-08-24,676.691,1381.795,668.755,1297.827,671.995,1218.053,674.653,1273.289,1524.203,1413.670,1345.876,1407.197,25.400,22.430,23.560,23.450,8.000,-4.000,0.000
2021-08-25,672.928,741.518,666.257,688.731,663.839,680.731,668.367,665.342,824.109,756.656,752.385,737.678,13.740,12.540,12.610,12.290,12.000,2.000,3.000
2021-08-26,669.489,1123.650,674.270,1134.952,672.687,1039.194,675.114,1045.230,1235.936,1253.348,1146.423,1154.631,20.600,19.110,20.890,19.240,7.000,-1.000,9.000
2021-08-27,683.228,2022.261,684.477,2065.045,686.104,1902.556,685.537,1548.910,2225.162,2271.105,2101.298,1707.076,37.090,35.020,37.850,28.450,30.000,23.000,33.000
2021-08-28,684.167,1140.253,679.778,1136.942,686.956,1080.849,693.922,917.636,1251.772,1245.293,1190.776,1029.368,20.860,19.850,20.750,17.160,22.000,16.000,21.000
2021-08-30,722.459,629.861,716.972,622.148,725.682,561.972,733.851,614.264,696.446,688.397,625.219,694.432,11.610,10.420,11.470,11.570,0.000,-10.000,-1.000
2021-08-31,664.597,1070.302,658.382,1034.919,666.125,982.028,672.373,1097.977,1177.650,1134.503,1085.909,1231.341,19.630,18.100,18.910,20.520,-4.000,-12.000,-8.000
